Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,F,23.59,37.19,5,Southern Peloponnese and Saronic Gulf,Argos,2,2,,2005,FEB,MAY,,OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,G,24.48,35.07,1,"Messaras Gulf, off south coast of Crete",Argos,2,10,,2005,MAY; JUN; JUL,JUN; JUL; AUG,,BRE; OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,H,24.48,35.07,1,Crete nesting beaches,Argos,2,8,,2005,JUN; JUL,JUN; JUL,,NES,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,I,10.5,41.75,1,"Northern Tyrrhenian Sea, between coasts of Italy and Corsica",Argos,2,1,,2005,JUL,AUG,,OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,J,13.65,40.99,1,"Italian coast, near Naples",Argos,2,2,,2005,AUG,SEP,,OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,K,14,35,5,Sicilian coast and channel,Argos,2,2,,2005; 2006,SEP,MAY,,OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,L,16.75,37.5,5,Ionian Sea,Argos,2,2,,2006,MAY,JUN,,OBS,,,,
CACAR,Loggerhead,3HIB77RQ_Luschi_etal_2013_Cacar,3HIB77RQ,T,M,20.18,39.4,1,Greek coast,Argos,2,1,,2006,JUN,JUN,,OBS,,,,
CACAR,Loggerhead,49SXQ64B_Tucker_2010_Cacar,49SXQ64B,MR,A,-82.5311,27.09731,1,"Casey Key, Florida (28.7, -82.3)",Argos; Flipper; PIT,53,,1,2005; 2006; 2007; 2008; 2009,MAY; JUN; JUL; (UNK),MAY; JUN; JUL; (UNK),,NES,,,,
CACAR,Loggerhead,49SXQ64B_Tucker_2010_Cacar,49SXQ64B,T,A,-82.5311,27.09731,1,"Casey Key, Florida (28.7, -82.3)",Argos; Flipper; PIT,53,,1,2005; 2006; 2007; 2008; 2009,MAY; JUN; JUL; (UNK),MAY; JUN; JUL; (UNK),,NES,,,,
CACAR,Loggerhead,49SXQ64B_Tucker_2010_Cacar,49SXQ64B,MR,B,-82.3,26.9,1,"Manasota Key, Florida",Argos; Flipper; PIT,2,,1,,MAY; JUN; JUL; (UNK),MAY; JUN; JUL; (UNK),,NES,,,,
CACAR,Loggerhead,49SXQ64B_Tucker_2010_Cacar,49SXQ64B,T,B,-82.3,26.9,1,"Manasota Key, Florida",Argos; Flipper; PIT,2,,1,,MAY; JUN; JUL; (UNK),MAY; JUN; JUL; (UNK),,NES,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,A,20.866667,37.716667,1,"Laganas Bay, Zakynthos Island, Greece (37.716667, 20.866667)",GPS,21,16,,2006; 2007; 2008,MAY; JUN,MAY; JUN; (UNK),,BRE,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,B,20.92,37.7,1,Zakynthos east coast,GPS,5,4,,2006; 2007; 2008,MAY; JUN,MAY; JUN; DEC,,OBS,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,C,20.62,37.8,1,Zakynthos west coast,GPS,2,2,,2006,JUN,JUN,,OBS,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,D,21.43,37.6,1,Peleponesse,GPS,4,2,,2007; 2008,MAY; JUN,MAY; JUN,,OBS,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,E,21.1,37.5,1,Central Ionian Sea,GPS,5,6,,2008,MAY; JUN,MAY; JUN,,OBS,,,,
CACAR,Loggerhead,49TN7ETJ_Schofield_etal_2010_Cacar,49TN7ETJ,T,F,20.3,37.7,1,West Ionian Sea,GPS,2,2,,2008,MAY,MAY,,OBS,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,A,14.98,39.63,5,Tyrrhenian Sea,SATELLITE TAG (ARGOS),4,1,,1995; 1997; 1999,OCT; (UNK),DEC; (UNK),,OBS,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,B,15.63,38.26,1,"Strait of Messina (38.26, 15.63)",SATELLITE TAG (ARGOS),4,3,,1995; 1997; 1999,(UNK),(UNK),,MIG,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,C,18.42,37.81,5,Mid Ionian Sea,SATELLITE TAG (ARGOS),3,3,,1997; 1999,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,D,20.776,38.695,1,"Gulf of Arta (38.695, 20.776)",SATELLITE TAG (ARGOS),2,1,,1997; 1998,(UNK),(UNK),,WIN,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,E,24,32,1,Libyan coast,SATELLITE TAG (ARGOS),2,2,,1995,(UNK),(UNK),,WIN,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,F,27.81,36.87,1,Turkish coast,SATELLITE TAG (ARGOS),2,1,,1995,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,G,17.3,40,1,"Gulf of Taranto (39.4-40.5, 16.5-18.5)",SATELLITE TAG (ARGOS),2,2,,1999,(UNK),(UNK),,FEE; MIG,,,,
CACAR,Loggerhead,4HH2GQRK_Bentivegna_etal_2007_Cacar,4HH2GQRK,T,H,19.72,40.06,1,Near Corfu (Greek island),SATELLITE TAG (ARGOS),2,1,,1999,(UNK),(UNK),,OBS,,,,
CACAR,Loggerhead,4P2UKES2_Hammerschlag_etal_2015_Cacar,4P2UKES2,T,A,-79.45,32.75,10,"North Carolina, South Carolina, Georgia nesting beaches",Argos,69,,,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,4P2UKES2_Hammerschlag_etal_2015_Cacar,4P2UKES2,T,B,-77.8,33.8,10,"US East Coast, from Florida to New York",Argos,69,,,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK),,BRE; FEE; NES,,,,
CACAR,Loggerhead,4P2UKES2_Hammerschlag_etal_2015_Cacar,4P2UKES2,T,C,-80.57,31.63,10,"US East Coast, from Florida to Virginia",Argos,69,,,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008,JAN; FEB; DEC; (UNK),JAN; FEB; DEC; (UNK),,OBS,,,,
CACAR,Loggerhead,58JGD4EX_Nagelkerken_etal_2003_Cacar,58JGD4EX,T,A,-69,12.22,1,northeast coast of Curacao,RADIO TAG,24,,,1993,AUG,AUG,,HAT,,,,
CACAR,Loggerhead,5EPJFWR5_Mansfield_etal_2012_Cacar,5EPJFWR5,O,A,-80.03,26.42,1,"Boca Raton, Florida (26.42, -80.03)",Sightings,7,,,2008; 2009,AUG; SEP; OCT,AUG; SEP; OCT,,HAT,,,,
CACAR,Loggerhead,5EPJFWR5_Mansfield_etal_2012_Cacar,5EPJFWR5,T,B,-80.019457,26.768884,1,"Gulf Stream 10-15 km offshore of Riviera Beach, Florida",Argos,7,,,2009,MAY; JUN; DEC,(UNK),,OBS,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,A,-80.483,27.917,1,"Archie Carr National Wildlife Refuge, Florida (27.917, -80.483)",Argos; C; Flipper; N; PIT,24,4,4,2008; 2009; 2010; 2011; 2012,,,MAY; JUN; JUL; AUG,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,MR,A,-80.483,27.917,1,"Archie Carr National Wildlife Refuge, Florida (27.917, -80.483)",Argos; C; Flipper; N; PIT,24,4,4,2008; 2009; 2010; 2011; 2012,MAY; JUN; JUL; AUG; (UNK),MAY; JUN; JUL; AUG; (UNK),,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,A,-80.483,27.917,1,"Archie Carr National Wildlife Refuge, Florida (27.917, -80.483)",Argos; C; Flipper; N; PIT,24,4,4,2008; 2009; 2010; 2011; 2012,MAY; JUN; JUL; AUG; (UNK),MAY; JUN; JUL; AUG; (UNK),,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,B,-80.054,26.873,1,"Juno Beach, Florida (26.873, -80.054)",Argos; C; N,7,3,3,2012,,,JAN,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,B,-80.054,26.873,1,"Juno Beach, Florida (26.873, -80.054)",Argos; C; N,7,3,3,2012,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,C,-81.778,26.046,1,"Keewaydin Island, Florida (26.046, -81.778)",Argos; C; N,13,2,2,2011; 2012; 2013,,,JAN,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,C,-81.778,26.046,1,"Keewaydin Island, Florida (26.046, -81.778)",Argos; C; N,13,2,2,2011; 2012; 2013,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,D,-82.5311,27.09731,1,"Casey Key (27.150, -82.481)",Argos; C; N,16,3,3,2007; 2008; 2009; 2010; 2011; 2012; 2013,,,JAN,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,D,-82.5311,27.09731,1,"Casey Key (27.150, -82.481)",Argos; C; N,16,3,3,2007; 2008; 2009; 2010; 2011,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,E,-74.8,37.03,5,Mid Atlantic Bight,Argos; C; N,11,2,2,,,,,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,E,-74.8,37.03,5,Mid Atlantic Bight,Argos; C; N,11,2,2,2008; 2009; 2010; 2011; 2012,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,F,-79.6,31.5,5,South Atlantic Bight,Argos; C; N,8,3,3,,,,,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,F,-79.6,31.5,5,South Atlantic Bight,Argos; C; N,8,3,3,2007; 2008; 2009; 2010; 2011; 2012,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,G,-77.15,23.59,5,Subtropical Northwest Atlantic,Argos; C; N,22,4,4,,,,,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,G,-77.15,23.59,5,Subtropical Northwest Atlantic,Argos; C; N,22,4,4,2007; 2008; 2009; 2010; 2011; 2012; 2013,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,I,H,-82.8,25.75,5,Southwest Florida,Argos; C; N,19,3,3,,,,,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,T,H,-82.8,25.75,5,Southwest Florida,Argos; C; N,19,3,3,2007; 2008; 2009; 2010; 2011; 2012; 2013,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,5FXSUJFC_Ceriani_etal_2015_Cacar,5FXSUJFC,MR,I,-80.483,27.917,1,"Archie Carr National Wildlife Refuge, Florida (27.917, -80.483)",Flipper; PIT,,,,2008; 2009; 2010; 2011; 2012,MAY; JUN; JUL; AUG; (UNK),MAY; JUN; JUL; AUG; (UNK),,NES,,,,
CACAR,Loggerhead,5ZZXBHEU_Kobayashi_etal_2011_Cacar,5ZZXBHEU,T,A,125.05,29.5,10,Taiwan coast and East China Sea,SATELLITE TAG (ARGOS),35,,,2002; 2003; 2004; 2005; 2006; 2007; 2008,JAN; FEB; MAR; APR; MAY; JUN; OCT; NOV; DEC,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; SEP; OCT; NOV,,FEE,,,,
CACAR,Loggerhead,62P7VS32_Mencacci_etal_2011_Cacar,62P7VS32,T,A,10.43,42.9,5,Tuscany coastal waters,SATELLITE TAG (ARGOS),4,1,,2005; 2007; 2010,MAY; JUN; JUL,JUN; SEP; NOV,,FEE,,,,
CACAR,Loggerhead,62P7VS32_Mencacci_etal_2011_Cacar,62P7VS32,T,B,8.82,44.37,1,Northern Ligurian Sea,SATELLITE TAG (ARGOS),2,1,,2007,(UNK),JUL,,FEE,,,,
CACAR,Loggerhead,6FVBT7DB_Schofield_etal_2010_Cacar,6FVBT7DB,T,A,20.88,37.71,1,"Laganas Bay, Zakynthos Island, Greece",SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),13,6,,2006; 2007,MAY; JUN,MAY; JUN; AUG,,BRE,,,,
CACAR,Loggerhead,6FVBT7DB_Schofield_etal_2010_Cacar,6FVBT7DB,T,B,20.86,37.72,1,Zakynthos Island nesting beaches,SATELLITE TAG (GPS),8,2,,2006; 2007,MAY; JUN,MAY; JUN,,NES,,,,
CACAR,Loggerhead,6FVBT7DB_Schofield_etal_2010_Cacar,6FVBT7DB,T,C,21.66,37.2,1,Kyparissia Bay,SATELLITE TAG (GPS),2,2,,2007,(UNK),(UNK),,OBS,,,,
CACAR,Loggerhead,6FVBT7DB_Schofield_etal_2010_Cacar,6FVBT7DB,T,D,14.74,44.33,1,Croatian Islands Olib and Silba,SATELLITE TAG (GPS),2,1,,2007,JUN,JUN,,FEE,,,,
CACAR,Loggerhead,6FVBT7DB_Schofield_etal_2010_Cacar,6FVBT7DB,T,E,26.78,38.5,1,"Bay of Izmir, Turkey",SATELLITE TAG (ARGOS),2,1,,2007,JUN,SEP,,FEE,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,A,140.075208,34.777127,1,"34.643, 140.166",Argos,8,1,,2003,APR,APR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,B,140.142309,34.99322,1,"34.867, 140.211",Argos,19,1,,2003,NOV,NOV,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,C,140.963304,35.473972,1,"35.431, 141.122",Argos,14,1,,2004,APR,APR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,D,140.472027,34.991572,1,"34.867, 140.590",Argos,27,1,,2004,NOV,NOV,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,E,176.163594,32.332493,10,"32.667, 176.617",Argos,45,1,,2005,MAY,MAY,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,F,136.87421,34.108136,1,"33.950, 136.900",Argos,17,1,,2005,JUL,JUL,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,G,176.60696,33.174592,10,"32.852, 176.832",Argos,36,1,,2006,OCT,OCT,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,H,140.559113,34.963914,1,"34.867, 140.590",Argos,26,1,,2007,SEP,SEP,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,I,-175.055937,35.942339,10,"North Pacific, from about 25-40 N, 140-240 E",Argos,185,8,,2003; 2004; 2005; 2006; 2007,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,J,-170.38896,27.040845,10,"26.743 - 28.967, 190.21-191.01",Argos,5,1,,1997; 1998,JAN; MAR; APR,JAN; MAR; APR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,K,-165.534415,28.985303,10,"29.480-24.782, 196.7-199.01",Argos,3,1,,1997,FEB,FEB,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,L,-163.180664,29.565482,10,"28.758-30.863, 203.42-205.57",Argos,6,1,,1997; 1998,FEB; MAR; APR,FEB; MAR; APR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,M,-160.522323,27.384303,10,"26.160-27.911, 199.42-201.76",Argos,3,1,,1997; 1998,MAR; APR,MAR; APR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,N,-135.584173,37.798268,10,"35.794-37.722, 226.4-228.93",Argos,3,1,,1997; 2000,AUG; SEP,AUG; SEP,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,O,-144.206482,33.522618,10,"31.833-34.383, 215.32-217.46",Argos,6,1,,1998; 1999; 2000,JAN; FEB,JAN; FEB,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,P,-163.186383,36.498036,10,"34.250-37.717, 195.22-198.1",Argos,7,1,,1998,AUG; OCT; NOV; DEC,AUG; OCT; NOV; DEC,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,Q,-160.321968,38.475438,10,"38.477, 220.4",Argos,2,1,,1998,OCT,OCT,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,R,-138.831274,33.81568,10,"32.256-34.230, 221.45-223.9",Argos,3,1,,1998; 2000,FEB; DEC,FEB; DEC,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,S,-150.507762,33.256091,10,"32.921-33.642, 209.08-210.02",Argos,3,1,,1998; 1999,DEC,DEC,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,T,-154.044933,32.123478,10,"32.028-32.183, 206.18-207.72",Argos,5,1,,1999,JAN; FEB,JAN; FEB,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,U,-156.378328,24.807365,10,"24.767-24.955, 203.68-205.23",Argos,3,1,,1999; 2000,JAN; MAY,JAN; MAY,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,V,-170.931239,32.68222,10,"32.686, 190.72",Argos,2,1,,2000,FEB,FEB,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,W,-146.893778,31.093193,10,"31.065-31.133, 213.29-213.45",Argos,3,1,,2000,MAR,MAR,,OBS,,,,
CACAR,Loggerhead,6GPSNARC_Abecassis_etal_2013_Cacar,6GPSNARC,T,X,178.306489,26.406379,10,"Mid North Pacific, from 20-40, 160-230",Argos,31,14,,1997; 1998; 1999; 2000; 2001,JAN; FEB; MAR; APR; MAY; AUG; SEP; OCT; NOV; DEC,FEB; MAR; APR; MAY; JUN; JUL; SEP; OCT; NOV; DEC,,FEE,,,,
CACAR,Loggerhead,6HF2BHWN_Fuller_etal_2008_Cacar,6HF2BHWN,T,A,33.663391,35.368608,1,"Alagadi beach, Cyprus (35.550000, 33.783333)",Argos; GLS,4,8,,2004,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK),,NES,,,,
CACAR,Loggerhead,6MJ7R4SD_Scales_etal_2015_Cacar,6MJ7R4SD,T,A,-22.783333,16.1,1,"Boa Vista, Cape Verde (16.100000, -22.783333)",Argos,25,1,,2004; 2005; 2006,(UNK),(UNK),,NES,,,,
CACAR,Loggerhead,6MJ7R4SD_Scales_etal_2015_Cacar,6MJ7R4SD,T,B,-24.94,16.12,5,Canary Current Large Marine Ecosystem,Argos,13,1,,2004; 2005; 2006,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,6UI2HV64_Peckham_etal_2011_Cacar,6UI2HV64,T,A,-157.311959,28.518865,10,Central North Pacific near Hawaii,SATELLITE TAG (ARGOS),24,,,1997; 1998; 1999; 2000; 2001,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,6UI2HV64_Peckham_etal_2011_Cacar,6UI2HV64,T,B,-112.67946,25.64249,5,"Baja California Peninsula, Mexico",SATELLITE TAG (ARGOS),41,,,1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,I,A,-80.53,28.38,1,"Cape Canaveral, Florida, USA (28.38, -80.53)",Argos; C; N,30,4,4,2006; 2007,,,APR,BRE; FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,T,A,-80.53,28.38,1,"Cape Canaveral, Florida, USA (28.38, -80.53)",Argos; C; N,30,4,4,2006; 2007,APR,(UNK),,BRE; FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,I,B,-79.73,32.66,1,South Atlantic Bight off coast of South Carolina,Argos; C; N,3,1,1,2006; 2007,,,JAN,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,T,B,-79.73,32.66,1,South Atlantic Bight off coast of South Carolina,Argos; C; N,3,1,1,2006; 2007,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,I,C,-75.19,37.8,5,Mid-Atlantic Bight from North Carolina to New Jersey,Argos; C; N,9,1,1,2006; 2007,,,JAN,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,T,C,-75.19,37.8,5,Mid-Atlantic Bight from North Carolina to New Jersey,Argos; C; N,9,1,1,2006; 2007,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,I,D,-80.16,24.2,5,Suptropical Northwest Atlantic near Bahamas and Florida Keys,Argos; C; N,4,1,1,2006; 2007,,,JAN,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,T,D,-80.16,24.2,5,Suptropical Northwest Atlantic near Bahamas and Florida Keys,Argos; C; N,4,1,1,2006; 2007,(UNK),(UNK),,FEE,,,,
CACAR,Loggerhead,72MHA3FR_Pajuelo_etal_2012_Cacar,72MHA3FR,I,E,-85.34,29.55,5,Northeast Gulf of Mexico off coast of Florida Panhandle,Argos; C; N,3,1,1,2006; 2007,,,JAN,FEE,,,,
