Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,,,,
CACA,Great White Shark,JQ9I5RH8_Weng_etal_2007_Caca,JQ9I5RH8,T,A,-119.0917,33.2903,5,Southern California Bight,POP-UP SATELLITE ARCHIVAL (PSAT),7,2,,2002; 2003; 2004; 2005,JUL; AUG; SEP; OCT,JAN; AUG; SEP; OCT; NOV,,OBS,,,,,,,
CACA,Great White Shark,JQ9I5RH8_Weng_etal_2007_Caca,JQ9I5RH8,T,B,-122.5928,38.0108,5,"Point Reyes, California",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2005,(UNK),JAN,,OBS,,,,,,,
CACA,Great White Shark,JQ9I5RH8_Weng_etal_2007_Caca,JQ9I5RH8,T,C,-114.3,27.5958,5,"Vizcaino Bay, Baja California",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2003,OCT,NOV,,OBS,,,,,,,
CACA,Great White Shark,M6HZC6A2_Nasby-Lucas_etal_2009_Caca,M6HZC6A2,T,A,-118.1633,29.0319,5,"Guadalupe Island, Mexico",POP-UP SATELLITE ARCHIVAL (PSAT),4,3,,2002; 2003; 2004; 2005,JUL; DEC,FEB; APR; MAY; (UNK),,OBS,,,,,,,
CACA,Great White Shark,M6HZC6A2_Nasby-Lucas_etal_2009_Caca,M6HZC6A2,T,B,-132.0449,31.0536,10,Share Offshore Foraging Area (SOFA),POP-UP SATELLITE ARCHIVAL (PSAT),4,2,,2002; 2003; 2004; 2006,FEB; MAR; APR; MAY,MAY; JUL,,OBS,,,,,,,
CACA,Great White Shark,M6HZC6A2_Nasby-Lucas_etal_2009_Caca,M6HZC6A2,T,C,-150,25,5,East of Hawaii,POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2006,MAY,(UNK),,OBS,,,,,,,
CACA,Great White Shark,MPSFT62G_Bonfil_etal_2005_Caca,MPSFT62G,MR,A,21.5,-34.7,5,"Gansbaai, South Africa (-34.65, 19.4)",ACOUSTIC/SONIC TAG (TELEMETRY); PHOTO-ID; POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),50,2,2,2002; 2003; 2004,APR; MAY; JUN; AUG; OCT; NOV; (UNK),JAN; FEB; MAR; MAY; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),,OBS,,,,,,,
CACA,Great White Shark,MPSFT62G_Bonfil_etal_2005_Caca,MPSFT62G,T,A,21.5,-34.7,5,"Gansbaai, South Africa (-34.65, 19.4)",ACOUSTIC/SONIC TAG (TELEMETRY); PHOTO-ID; POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),50,2,2,2002; 2003; 2004,APR; MAY; JUN; AUG; OCT; NOV; (UNK),JAN; FEB; MAR; MAY; JUL; AUG; SEP; OCT; NOV; DEC; (UNK),,OBS,,,,,,,
CACA,Great White Shark,MPSFT62G_Bonfil_etal_2005_Caca,MPSFT62G,T,B,113.8869,-22.0181,1,"Exmouth Gulf, Australia (-22.0181, 113.8869)",ACOUSTIC/SONIC TAG (TELEMETRY); POP-UP SATELLITE ARCHIVAL (PSAT),2,1,1,2003,FEB,(UNK),,OBS,,,,,,,
CACA,Great White Shark,MPSFT62G_Bonfil_etal_2005_Caca,MPSFT62G,T,C,30.5,-30.6,5,"Eastern Cape, South Africa",ACOUSTIC/SONIC TAG (TELEMETRY); POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),8,1,1,2003; 2004,(UNK),(UNK),,OBS,,,,,,,
CACA,Great White Shark,MSNI7AVE_Towner_etal_2016_Caca,MSNI7AVE,T,A,19.2453,-34.4102,1,"Dyer Island, South Africa",ACOUSTIC/SONIC TAG (TELEMETRY),15,,,2010; 2011; 2012; 2013; 2014,JAN; FEB; APR; MAY; JUL; SEP; OCT; NOV,MAR; APR; MAY; JUN; JUL; SEP; OCT; NOV; DEC,,FEE; OBS,,,,,,,
CACA,Great White Shark,N5PN8B3Q_Jewell_etal_2013_Caca,N5PN8B3Q,T,A,22.2,-34.1,1,"Mossel Bay, South Africa",ACOUSTIC/SONIC TAG (TELEMETRY),14,,,2005; 2007; 2008,MAR; MAY; JUN; JUL; AUG; SEP; OCT,(UNK),,OBS,,,,,,,
CACA,Great White Shark,Q23GVK7S_STRONG_etal_1992_Caca,Q23GVK7S,MR,A,137.554,-33.526,1,"Spencer Gulf, Australia",ACOUSTIC/SONIC TAG (TELEMETRY); FLIPPER TAG; OBSERVATIONS OF NATURAL UNIQUE ID,59,,,1989; 1990; 1991,JAN; FEB; MAR; APR; MAY; JUN; AUG; SEP,(UNK),,OBS,,,,,,,
CACA,Great White Shark,Q23GVK7S_STRONG_etal_1992_Caca,Q23GVK7S,T,A,137.554,-33.526,1,"Spencer Gulf, Australia",ACOUSTIC/SONIC TAG (TELEMETRY); FLIPPER TAG; OBSERVATIONS OF NATURAL UNIQUE ID,59,,,1989; 1990; 1991,JAN; FEB; MAR; APR; MAY; JUN; AUG; SEP,(UNK),,OBS,Repeat,Can't verify if it's a repeat because I can't get access to the paper -BP,,,,,
CACA,Great White Shark,QRZW3G5K_Kukulya_etal_2016_Caca,QRZW3G5K,T,A,-118.1602,29.0802,1,"NE Guadalupe Island, Mexico",Acoustic telemetry; Video telemetry,5,,,2015,DEC,DEC,,BRE; FEE,,,,,,,
CACA,Great White Shark,R55HJMVQ_Klimley_etal_2001_Caca,R55HJMVQ,T,A,-122.2011,37.0629,1,"Ano Nuevo Island, California",ACOUSTIC/SONIC TAG (TELEMETRY),7,,,1997; 1998,OCT,OCT,,FEE,,,,,,,
CACA,Great White Shark,S22NFP28_Klimley_etal_2002_Caca,S22NFP28,T,A,-117.286,32.832,1,"La Jolla, Southern California",ACOUSTIC/SONIC TAG (TELEMETRY),2,,,1995,JUL,JUL,,OBS,,,,,,,
CACA,Great White Shark,THSMI68C_Bonfil_and_O'Brien_2015_Caca,THSMI68C,T,A,-118.1633,29.0319,1,"Guadalupe Island, Mexico",SATELLITE TAG (ARGOS),1,1,,2006; 2007,OCT,FEB,,OBS,,,,,,,
CACA,Great White Shark,THSMI68C_Bonfil_and_O'Brien_2015_Caca,THSMI68C,T,B,-152.521,27.2803,10,North of Hawaiian Islands,SATELLITE TAG (ARGOS),1,1,,2007,MAR,JUL,,OBS,,,,,,,
CACA,Great White Shark,UERHQG9Q_Bonfil_etal_2010_Caca,UERHQG9Q,T,A,-176.3223,-44.001,1,"Chatham Islands, New Zealand (-44.2167, -175.9833)",POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),5,2,,2005,APR,APR; JUN; JUL; SEP,,OBS,,,,,,,
CACA,Great White Shark,UERHQG9Q_Bonfil_etal_2010_Caca,UERHQG9Q,T,B,-171.1944,-33.0127,5,Louisville Seamount Chain,POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),2,1,,2005,(UNK),APR,,FEE,,,,,,,
CACA,Great White Shark,UERHQG9Q_Bonfil_etal_2010_Caca,UERHQG9Q,T,C,165.3144,-22.0222,5,New Caledonia,POP-UP SATELLITE ARCHIVAL (PSAT); SATELLITE TAG (ARGOS),3,1,,2005,AUG; OCT,SEP; OCT,,FEE,,,,,,,
CACA,Great White Shark,W5RQJMRI_Strong_etal_1996_Caca,W5RQJMRI,MR,A,136.591,-34.1719,1,"Spencer Gulf, Australia",ACOUSTIC/SONIC TAG (TELEMETRY); FLIPPER TAG; OBSERVATIONS OF NATURAL UNIQUE ID,68,,,1989; 1990; 1991,JAN; FEB; MAR; APR; MAY; JUN; AUG; SEP,(UNK),,OBS,,,,,,,
CACA,Great White Shark,W5RQJMRI_Strong_etal_1996_Caca,W5RQJMRI,T,A,136.591,-34.1719,1,"Spencer Gulf, Australia",ACOUSTIC/SONIC TAG (TELEMETRY); FLIPPER TAG; OBSERVATIONS OF NATURAL UNIQUE ID,68,,,1989; 1990; 1991,JAN; FEB; MAR; APR; MAY; JUN; AUG; SEP,(UNK),,OBS,,,,,,,
CACA,Great White Shark,WNCAMMNH_Robbins_etal_2015_Caca,WNCAMMNH,MR,A,136.1719,-35.0935,5,Neptune and Liguanea Islands,ACOUSTIC/SONIC TAG (MARK-RECAP),27,,,2011; 2012,APR; (UNK),JUN; (UNK),,FEE; OBS,,,,,,,
CACA,Great White Shark,XHQUFUM9_Klimley_etal_2001_Caca,XHQUFUM9,MR,A,-122.33,37.108,1,"Ano Nuevo Island, California",ACOUSTIC/SONIC TAG (MARK-RECAP),8,,,1997; 1998; 1999,(UNK),(UNK),,FEE; OBS,,,,,,,
CAFA,Silky Shark,33VZ4QVN_Eddy_etal_2016_Cafa,33VZ4QVN,T,A,-98,2.5,10,"Eastern Pacific (0?€?5N, 93?€?104W)",PSAT,14,,,2011; 2012,APR; JUN; JUL,APR; JUN; JUL; (UNK),,OBS,,,,,,,
CAFA,Silky Shark,7KJK7JVV_Filmalter_etal_2015_Cafa,7KJK7JVV,T,A,44.06,-11.43,5,East of Mozambique,Acoustic telemetry; PSAT,10,,,2010; 2011,MAR; APR,MAR; APR,,FEE,,,,,,,
CAFA,Silky Shark,7KJK7JVV_Filmalter_etal_2015_Cafa,7KJK7JVV,T,B,54,-7,5,Northeast of Madagascar,Acoustic telemetry; PSAT,30,,,2011; 2012,APR; JUN,APR; MAY; JUN; (UNK),,FEE,,,,,,,
CAFA,Silky Shark,GTJ8JRWZ_Clarke_etal_2011_Cafa,GTJ8JRWZ,T,A,38.83,21.5,1,"Jeddah, Saudi Arabia",Acoustic telemetry,15,,,2007; 2008; 2009,JUN; AUG; NOV,FEB; JUN; JUL; AUG; NOV,,OBS,,,,,,,
CAFA,Silky Shark,RVRVTRU2_Filmalter_etal_2011_Cafa,RVRVTRU2,T,A,55.5,-6,5,Seychelles,ACOUSTIC/SONIC TAG (TELEMETRY),11,,,2003; 2004; 2005,(UNK),(UNK),,OBS,,,,,,,
CAFA,Silky Shark,STU9XEP9_Musyl_etal_2011_Cafa,STU9XEP9,T,A,-157.2,20.12,1,Near Hawaiian Islands,Argos; PSAT,6,,,2002; 2003; 2004,APR; MAY; DEC,(UNK),,OBS,,,,,,,
CAFA,Silky Shark,STU9XEP9_Musyl_etal_2011_Cafa,STU9XEP9,T,B,-160,2,5,"South of Hawaii, below 10 degrees latitude",Argos; PSAT,4,,,2005,FEB,(UNK),,OBS,,,,,,,
CEMA,Basking Shark,4ZKJWJUR_Sims_and_Quayle_1998_Cema,4ZKJWJUR,O,A,-4.152683,50.280713,1,"Plymouth, England (50.266, 4.15)",SIGHTINGS (NO TAG/SAMPLE),113,,,1996; 1997,MAY; JUN; JUL; (UNK),MAY; JUN; JUL; (UNK),,FEE,,,,,,,
CEMA,Basking Shark,52CWRKPD_Skomal_etal_2004_Cema,52CWRKPD,T,A,-69.088,41.298,1,"Nantucket Island, Massachusetts (41.298, 69.088)",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2001,SEP,(UNK),,OBS,,,,,,,
CEMA,Basking Shark,52CWRKPD_Skomal_etal_2004_Cema,52CWRKPD,T,B,-75.3,36.00,1,"Outer Banks of North Carolina (36.008, 75.308)",POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2001,NOV,DEC,,OBS,,,,,,,
CEMA,Basking Shark,EBBGTFC2_PRIEDE_1984_Cema,EBBGTFC2,T,A,-5.033786,55.311064,1,"Firth of Clyde, Scotland",SATELLITE TAG (ARGOS),2,,,1982,JUN,JUL,,FEE,,,,,,,
CEMA,Basking Shark,F4MBCN7W_Sims_etal_2003_Cema,F4MBCN7W,T,A,-4.152683,50.280713,1,"Plymouth, England (50.33-50.167, -4.95-5.467)",POP-UP SATELLITE ARCHIVAL (PSAT),5,2,,2001; 2002,MAY; OCT,JAN; JUN; DEC,,FEE,,,,,,,
CEMA,Basking Shark,F4MBCN7W_Sims_etal_2003_Cema,F4MBCN7W,T,B,-5.246129,55.769315,1,"Northern Clyde Sea, Scotland (56-55.583, -4.95-5.467)",POP-UP SATELLITE ARCHIVAL (PSAT),4,2,,2001,JUL,AUG; SEP,,FEE,,,,,,,
CEMA,Basking Shark,GNEJRRAA_Gore_etal_2008_Cema,GNEJRRAA,T,A,-5.397566,53.638089,1,Southwest Isle of Man,POP-UP SATELLITE ARCHIVAL (PSAT),3,2,,2007,JUN,JUL; (UNK),,FEE,,,,,,,
